Dex No.,Name,Forme,Classification,Generation,Primary Type,Secondary Type,Ability 1,Ability 2,Hidden Ability,Gender,Male Gender Ratio,Female Gender Ratio,Catch Rate,Egg Group 1,Egg Group 2,Hatch Time Cycles,Height (In),Height (M),Weight (Lbs),Weight (Kg),Mega Stone 1,Mega Stone 2,EXP Yield (Gen I),EXP Yield (Gen II),EXP Yield (Gen III),EXP Yield (Gen IV),EXP Yield (Gen V+),Leveling Rate,EV Yield (HP),EV Yield (Attack),EV Yield (Defense),EV Yield (Sp.Atk),EV Yield (Sp.Def),EV Yield (Speed),Shape Img URL,Footprint Img Url,Base Friendship,Base HP,Base Attack,Base Defense,Base Special Attack,Base Special Defense,Base Speed,Base Stat Total,Color
1,Bulbasaur,,Seed,1,Grass,Poison,Overgrow,,Chlorophyll,,0.875,0.125,45,Monster,Grass,20,28,0.7,15.2,6.9,,,64,64,64,64,64,Medium Slow,0,0,0,1,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/d/d1/F0001.png,70,45|45|45|45|45|45|45|45|45,49|49|49|49|49|49|49|49|49,49|49|49|49|49|49|49|49|49,65|65|65|65|65|65|65|65|65,65|65|65|65|65|65|65|65|65,45|45|45|45|45|45|45|45|45,318|318|318|318|318|318|318|318|318,Green
2,Ivysaur,,Seed,1,Grass,Poison,Overgrow,,Chlorophyll,,0.875,0.125,45,Monster,Grass,20,39,1.0,28.7,13.0,,,141,141,141,141,142,Medium Slow,0,0,0,1,1,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/4/4a/F0002.png,70,60|60|60|60|60|60|60|60|60,62|62|62|62|62|62|62|62|62,63|63|63|63|63|63|63|63|63,80|80|80|80|80|80|80|80|80,80|80|80|80|80|80|80|80|80,60|60|60|60|60|60|60|60|60,405|405|405|405|405|405|405|405|405,Green
3,Venusaur,,Seed,1,Grass,Poison,Overgrow,,Chlorophyll,,0.875,0.125,45,Monster,Grass,20,79,2.0,220.5,100.0,Venusaurite,,208,208,208,208,236,Medium Slow,0,0,0,2,1,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/8/8e/F0003.png,70,80|80|80|80|80|80|80|80|80,82|82|82|82|82|82|82|82|82,83|83|83|83|83|83|83|83|83,100|100|100|100|100|100|100|100|100,100|100|100|100|100|100|100|100|100,80|80|80|80|80|80|80|80|80,525|525|525|525|525|525|525|525|525,Green
3,Venusaur,Mega Venusaur,Seed,6,Grass,Poison,Thick Fat,,,,0.875,0.125,45,Monster,Grass,20,94,2.4,342.8,155.5,Venusaurite,,208,208,208,208,236,Medium Slow,0,0,0,2,1,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/8/8e/F0003.png,70,|||||80|80|80|80,|||||100|100|100|100,|||||123|123|123|123,|||||122|122|122|122,|||||120|120|120|120,|||||80|80|80|80,|||||625|625|625|625,Green
3,Venusaur,Gigantamax Venusaur,Seed,8,Grass,Poison,Overgrow,,Chlorophyll,,0.875,0.125,45,Monster,Grass,20,945,24.0,220.5,100.0,Venusaurite,,208,208,208,208,236,Medium Slow,0,0,0,2,1,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/8/8e/F0003.png,70,|||||||80|80,|||||||82|82,|||||||83|83,|||||||100|100,|||||||100|100,|||||||80|80,|||||||525|525,Green
4,Charmander,,Lizard,1,Fire,,Blaze,,Solar Power,,0.875,0.125,45,Monster,Dragon,20,24,0.6,18.7,8.5,,,65,65,65,65,62,Medium Slow,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/8c/F0004.png,70,39|39|39|39|39|39|39|39|39,52|52|52|52|52|52|52|52|52,43|43|43|43|43|43|43|43|43,60|60|60|60|60|60|60|60|60,50|50|50|50|50|50|50|50|50,65|65|65|65|65|65|65|65|65,309|309|309|309|309|309|309|309|309,Red
5,Charmeleon,,Flame,1,Fire,,Blaze,,Solar Power,,0.875,0.125,45,Monster,Dragon,20,43,1.1,41.9,19.0,,,142,142,142,142,142,Medium Slow,0,0,0,1,0,1,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/6/67/F0005.png,70,58|58|58|58|58|58|58|58|58,64|64|64|64|64|64|64|64|64,58|58|58|58|58|58|58|58|58,80|80|80|80|80|80|80|80|80,65|65|65|65|65|65|65|65|65,80|80|80|80|80|80|80|80|80,405|405|405|405|405|405|405|405|405,Red
6,Charizard,,Flame,1,Fire,Flying,Blaze,,Solar Power,,0.875,0.125,45,Monster,Dragon,20,67,1.7,199.5,90.5,Charizardite X,Charizardite Y,209,209,209,209,240,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/05/F0006.png,70,78|78|78|78|78|78|78|78|78,84|84|84|84|84|84|84|84|84,78|78|78|78|78|78|78|78|78,109|109|109|109|109|109|109|109|109,85|85|85|85|85|85|85|85|85,100|100|100|100|100|100|100|100|100,534|534|534|534|534|534|534|534|534,Red
6,Charizard,Mega Charizard X,Flame,6,Fire,Dragon,Tough Claws,,,,0.875,0.125,45,Monster,Dragon,20,67,1.7,243.6,110.5,Charizardite X,,209,209,209,209,240,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/05/F0006.png,70,|||||78|78|78|78,|||||130|130|130|130,|||||111|111|111|111,|||||130|130|130|130,|||||85|85|85|85,|||||100|100|100|100,|||||634|634|634|634,Black
6,Charizard,Mega Charizard Y,Flame,6,Fire,Flying,Drought,,,,0.875,0.125,45,Monster,Dragon,20,67,1.7,221.6,100.5,Charizardite Y,,209,209,209,209,240,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/05/F0006.png,70,|||||78|78|78|78,|||||104|104|104|104,|||||78|78|78|78,|||||159|159|159|159,|||||115|115|115|115,|||||100|100|100|100,|||||634|634|634|634,Red
